"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"2","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"3","democrat","y","y","y","n","y","y","n","n","n","n","y","n","y","y","n","n"
"4","democrat","n","y","y","n","n","y","n","n","n","n","y","n","y","n","n","y"
"5","democrat","y","y","y","n","y","y","n","n","n","n","y","n","y","y","y","y"
"6","democrat","n","y","y","n","y","y","n","n","n","n","n","n","y","y","y","y"
"7","democrat","n","y","n","y","y","y","n","n","n","n","n","n","n","y","y","y"
"8","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","y","y"
"9","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"10","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"11","republican","n","y","n","y","y","n","n","n","n","n","n","n","y","y","n","n"
"12","republican","n","y","n","y","y","y","n","n","n","n","y","n","y","y","y","y"
"13","democrat","n","y","y","n","n","n","y","y","y","n","n","n","y","n","n","y"
"14","democrat","y","y","y","n","n","y","y","y","n","y","y","y","n","n","y","y"
"15","republican","n","y","n","y","y","y","n","n","n","n","n","y","n","n","n","y"
"16","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","n","n","y"
"17","democrat","y","n","y","n","n","y","n","y","n","y","y","y","y","n","n","y"
"18","democrat","y","y","y","n","n","n","y","y","y","n","n","n","y","n","y","y"
"19","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","n"
"20","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"21","democrat","y","y","y","n","n","y","y","y","n","n","y","n","n","n","y","y"
"22","democrat","y","y","y","n","n","n","y","y","y","n","n","n","y","y","y","y"
"23","democrat","y","y","y","n","n","n","y","y","y","n","n","y","n","n","y","y"
"24","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"25","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","n"
"26","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"27","democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"28","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"29","republican","y","n","n","y","y","n","y","y","y","n","n","y","y","y","n","y"
"30","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"31","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"32","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","n"
"33","democrat","y","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
"34","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"35","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"36","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"37","republican","y","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"38","republican","y","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
"39","republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"40","democrat","y","n","y","n","n","n","y","y","y","y","y","n","y","n","y","y"
